machine_id,lifespan_class,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],timestamp
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,24.476,2026-02-01T09:29:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,24.612,2026-02-01T09:29:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,24.796,2026-02-01T09:29:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,24.951,2026-02-01T09:29:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,25.131,2026-02-01T09:29:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,25.288,2026-02-01T09:30:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,25.496,2026-02-01T09:30:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,25.681,2026-02-01T09:30:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,25.878,2026-02-01T09:30:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,26.054,2026-02-01T09:30:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,26.28,2026-02-01T09:30:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,26.463,2026-02-01T09:31:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,26.658,2026-02-01T09:31:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,26.801,2026-02-01T09:31:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,26.951,2026-02-01T09:31:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,27.116,2026-02-01T09:31:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,27.342,2026-02-01T09:31:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,27.507,2026-02-01T09:32:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,27.652,2026-02-01T09:32:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,27.805,2026-02-01T09:32:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.044,2026-02-01T09:32:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.209,2026-02-01T09:32:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.376,2026-02-01T09:32:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.444,2026-02-01T09:33:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.595,2026-02-01T09:33:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.764,2026-02-01T09:33:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,28.885,2026-02-01T09:33:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,29.076,2026-02-01T09:33:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,29.246,2026-02-01T09:33:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,29.425,2026-02-01T09:34:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,29.655,2026-02-01T09:34:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,29.807,2026-02-01T09:34:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,29.985,2026-02-01T09:34:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,30.16,2026-02-01T09:34:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,30.371,2026-02-01T09:34:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,30.543,2026-02-01T09:35:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,30.686,2026-02-01T09:35:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,30.858,2026-02-01T09:35:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,31.093,2026-02-01T09:35:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,31.274,2026-02-01T09:35:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,31.535,2026-02-01T09:35:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,31.744,2026-02-01T09:36:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,31.878,2026-02-01T09:36:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,32.066,2026-02-01T09:36:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,32.259,2026-02-01T09:36:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,32.409,2026-02-01T09:36:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,32.567,2026-02-01T09:36:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,32.727,2026-02-01T09:37:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,32.835,2026-02-01T09:37:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,33.029,2026-02-01T09:37:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,33.164,2026-02-01T09:37:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,33.359,2026-02-01T09:37:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,33.517,2026-02-01T09:37:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,33.703,2026-02-01T09:38:00
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,33.798,2026-02-01T09:38:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,34.019,2026-02-01T09:38:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,34.193,2026-02-01T09:38:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,34.321,2026-02-01T09:38:40
MCH-S-01,short,H,320.0,339.944,1900.0,90.0,34.516,2026-02-01T09:38:50
MCH-S-01,short,H,320.0,339.474,1900.0,90.0,34.685,2026-02-01T09:39:00
MCH-S-01,short,H,320.0,339.319,1900.0,90.0,34.846,2026-02-01T09:39:10
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,35.05,2026-02-01T09:39:20
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,35.244,2026-02-01T09:39:30
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,35.378,2026-02-01T09:39:40
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,35.572,2026-02-01T09:39:50
MCH-S-01,short,H,320.0,340.0,1900.0,90.0,35.738,2026-02-01T09:40:00
MCH-S-01,short,H,320.0,339.702,1900.0,90.0,35.894,2026-02-01T09:40:10
MCH-S-01,short,H,320.0,339.173,1900.0,90.0,36.099,2026-02-01T09:40:20
MCH-S-01,short,H,320.0,338.864,1900.0,90.0,36.315,2026-02-01T09:40:30
MCH-S-01,short,H,320.0,338.483,1900.0,90.0,36.541,2026-02-01T09:40:40
MCH-S-01,short,H,320.0,338.106,1900.0,90.0,36.734,2026-02-01T09:40:50
MCH-S-01,short,H,320.0,337.577,1900.0,90.0,36.86,2026-02-01T09:41:00
MCH-S-01,short,H,320.0,336.984,1900.0,90.0,37.008,2026-02-01T09:41:10
MCH-S-01,short,H,320.0,336.583,1900.0,90.0,37.171,2026-02-01T09:41:20
MCH-S-01,short,H,320.0,336.042,1900.0,90.0,37.282,2026-02-01T09:41:30
MCH-S-01,short,H,320.0,335.624,1900.0,90.0,37.428,2026-02-01T09:41:40
MCH-S-01,short,H,320.0,335.317,1900.0,90.0,37.569,2026-02-01T09:41:50
MCH-S-01,short,H,320.0,334.864,1900.0,90.0,37.736,2026-02-01T09:42:00
MCH-S-01,short,H,320.0,334.728,1900.0,90.0,37.945,2026-02-01T09:42:10
MCH-S-01,short,H,320.0,334.273,1900.0,90.0,38.119,2026-02-01T09:42:20
MCH-S-01,short,H,320.0,334.634,1900.0,90.0,38.303,2026-02-01T09:42:30
MCH-S-01,short,H,320.0,334.027,1900.0,90.0,38.458,2026-02-01T09:42:40
MCH-S-01,short,H,320.0,333.409,1900.0,90.0,38.614,2026-02-01T09:42:50
MCH-S-01,short,H,320.0,332.89,1900.0,90.0,38.827,2026-02-01T09:43:00
MCH-S-01,short,H,320.0,332.479,1900.0,90.0,39.047,2026-02-01T09:43:10
MCH-S-01,short,H,320.0,332.08,1900.0,90.0,39.167,2026-02-01T09:43:20
MCH-S-01,short,H,320.0,331.549,1900.0,90.0,39.374,2026-02-01T09:43:30
MCH-S-01,short,H,320.0,331.206,1900.0,90.0,39.514,2026-02-01T09:43:40
MCH-S-01,short,H,319.773,330.442,1900.0,90.0,39.699,2026-02-01T09:43:50
MCH-S-01,short,H,319.403,330.02,1900.0,90.0,39.838,2026-02-01T09:44:00
MCH-S-01,short,H,319.106,329.486,1900.0,90.0,40.006,2026-02-01T09:44:10
MCH-S-01,short,H,318.782,329.091,1900.0,90.0,40.164,2026-02-01T09:44:20
MCH-S-01,short,H,318.416,328.624,1900.0,90.0,40.304,2026-02-01T09:44:30
MCH-S-01,short,H,318.118,328.234,1900.0,90.0,40.45,2026-02-01T09:44:40
MCH-S-01,short,H,317.658,327.8,1900.0,90.0,40.704,2026-02-01T09:44:50
MCH-S-01,short,H,317.268,327.247,1900.0,90.0,40.91,2026-02-01T09:45:00
MCH-S-01,short,H,317.007,326.826,1900.0,90.0,41.034,2026-02-01T09:45:10
MCH-S-01,short,H,316.646,326.536,1900.0,90.0,41.234,2026-02-01T09:45:20
MCH-S-01,short,H,316.357,326.137,1900.0,90.0,41.302,2026-02-01T09:45:30
MCH-S-01,short,H,315.918,325.736,1900.0,90.0,41.472,2026-02-01T09:45:40
MCH-S-01,short,H,315.552,325.486,1900.0,90.0,41.579,2026-02-01T09:45:50
MCH-S-01,short,H,315.045,325.424,1900.0,90.0,41.732,2026-02-01T09:46:00
MCH-S-01,short,H,314.479,325.033,1900.0,90.0,41.943,2026-02-01T09:46:10
MCH-S-01,short,H,314.153,324.581,1900.0,90.0,42.165,2026-02-01T09:46:20
MCH-S-01,short,H,313.811,324.49,1900.0,90.0,42.287,2026-02-01T09:46:30
MCH-S-01,short,H,313.362,324.219,1900.0,90.0,42.477,2026-02-01T09:46:40
MCH-S-01,short,H,312.889,324.021,1900.0,90.0,42.632,2026-02-01T09:46:50
MCH-S-01,short,H,312.435,323.642,1900.0,90.0,42.792,2026-02-01T09:47:00
MCH-S-01,short,H,312.128,323.505,1900.0,90.0,42.919,2026-02-01T09:47:10
MCH-S-01,short,H,311.675,323.164,1900.0,90.0,43.063,2026-02-01T09:47:20
MCH-S-01,short,H,311.346,323.11,1900.0,90.0,43.275,2026-02-01T09:47:30
MCH-S-01,short,H,310.87,323.133,1900.0,90.0,43.491,2026-02-01T09:47:40
MCH-S-01,short,H,310.564,323.142,1900.0,90.0,43.669,2026-02-01T09:47:50
MCH-S-01,short,H,310.221,322.95,1900.0,90.0,43.817,2026-02-01T09:48:00
MCH-S-01,short,H,309.862,322.905,1900.0,90.0,43.935,2026-02-01T09:48:10
MCH-S-01,short,H,309.567,322.876,1900.0,90.0,44.084,2026-02-01T09:48:20
MCH-S-01,short,H,309.314,322.834,1900.0,90.0,44.227,2026-02-01T09:48:30
MCH-S-01,short,H,308.918,322.661,1900.0,90.0,44.414,2026-02-01T09:48:40
MCH-S-01,short,H,308.512,322.695,1900.0,90.0,44.621,2026-02-01T09:48:50
MCH-S-01,short,H,308.277,322.726,1900.0,90.0,44.711,2026-02-01T09:49:00
MCH-S-01,short,H,308.019,322.548,1900.0,90.0,44.925,2026-02-01T09:49:10
MCH-S-01,short,H,307.768,322.615,1900.0,90.0,45.075,2026-02-01T09:49:20
MCH-S-01,short,H,307.355,322.586,1900.0,90.0,45.252,2026-02-01T09:49:30
MCH-S-01,short,H,307.1,322.599,1900.0,90.0,45.394,2026-02-01T09:49:40
MCH-S-01,short,H,306.836,322.578,1900.0,90.0,45.574,2026-02-01T09:49:50
MCH-S-01,short,H,306.633,322.578,1900.0,90.0,45.706,2026-02-01T09:50:00
MCH-S-01,short,H,306.417,322.589,1900.0,90.0,45.909,2026-02-01T09:50:10
MCH-S-01,short,H,306.168,322.877,1900.0,90.0,46.027,2026-02-01T09:50:20
MCH-S-01,short,H,306.035,322.987,1900.0,90.0,46.196,2026-02-01T09:50:30
MCH-S-01,short,H,305.935,323.023,1900.0,90.0,46.346,2026-02-01T09:50:40
MCH-S-01,short,H,305.645,323.4,1900.0,90.0,46.426,2026-02-01T09:50:50
MCH-S-01,short,H,305.422,323.643,1900.0,90.0,46.569,2026-02-01T09:51:00
MCH-S-01,short,H,305.423,323.747,1900.0,90.0,46.74,2026-02-01T09:51:10
MCH-S-01,short,H,305.382,323.935,1900.0,90.0,46.846,2026-02-01T09:51:20
MCH-S-01,short,H,305.143,324.246,1900.0,90.0,47.025,2026-02-01T09:51:30
MCH-S-01,short,H,305.069,324.625,1900.0,90.0,47.15,2026-02-01T09:51:40
MCH-S-01,short,H,304.983,324.894,1900.0,90.0,47.343,2026-02-01T09:51:50
MCH-S-01,short,H,304.657,325.175,1900.0,90.0,47.485,2026-02-01T09:52:00
MCH-S-01,short,H,304.329,325.476,1900.0,90.0,47.579,2026-02-01T09:52:10
MCH-S-01,short,H,304.33,325.662,1900.0,90.0,47.742,2026-02-01T09:52:20
MCH-S-01,short,H,304.314,325.791,1900.0,90.0,47.884,2026-02-01T09:52:30
MCH-S-01,short,H,304.285,325.991,1900.0,90.0,48.051,2026-02-01T09:52:40
MCH-S-01,short,H,304.121,326.422,1900.0,90.0,48.216,2026-02-01T09:52:50
MCH-S-01,short,H,304.031,326.857,1900.0,90.0,48.323,2026-02-01T09:53:00
MCH-S-01,short,H,303.743,327.691,1900.0,90.0,48.477,2026-02-01T09:53:10
MCH-S-01,short,H,303.696,328.035,1900.0,90.0,48.654,2026-02-01T09:53:20
MCH-S-01,short,H,303.801,328.478,1900.0,90.0,48.765,2026-02-01T09:53:30
MCH-S-01,short,H,303.99,328.966,1900.0,90.0,48.923,2026-02-01T09:53:40
MCH-S-01,short,H,304.006,329.383,1900.0,90.0,49.079,2026-02-01T09:53:50
MCH-S-01,short,H,303.957,329.776,1900.0,90.0,49.25,2026-02-01T09:54:00
MCH-S-01,short,H,303.904,330.18,1900.0,90.0,49.375,2026-02-01T09:54:10
MCH-S-01,short,H,304.045,330.696,1900.0,90.0,49.581,2026-02-01T09:54:20
MCH-S-01,short,H,304.144,331.054,1900.0,90.0,49.724,2026-02-01T09:54:30
MCH-S-01,short,H,304.096,331.752,1900.0,90.0,49.945,2026-02-01T09:54:40
MCH-S-01,short,H,304.044,332.44,1900.0,90.0,50.181,2026-02-01T09:54:50
MCH-S-01,short,H,304.19,333.028,1900.0,90.0,50.329,2026-02-01T09:55:00
MCH-S-01,short,H,304.256,333.303,1900.0,90.0,50.468,2026-02-01T09:55:10
MCH-S-01,short,H,304.422,333.997,1900.0,90.0,50.631,2026-02-01T09:55:20
MCH-S-01,short,H,304.602,334.55,1900.0,90.0,50.795,2026-02-01T09:55:30
MCH-S-01,short,H,304.645,334.924,1900.0,90.0,50.962,2026-02-01T09:55:40
MCH-S-01,short,H,304.925,335.312,1900.0,90.0,51.162,2026-02-01T09:55:50
MCH-S-01,short,H,305.053,335.963,1900.0,90.0,51.302,2026-02-01T09:56:00
MCH-S-01,short,H,305.273,336.516,1900.0,90.0,51.469,2026-02-01T09:56:10
MCH-S-01,short,H,305.537,337.065,1900.0,90.0,51.608,2026-02-01T09:56:20
MCH-S-01,short,H,305.679,337.84,1900.0,90.0,51.743,2026-02-01T09:56:30
MCH-S-01,short,H,305.899,338.782,1900.0,90.0,51.895,2026-02-01T09:56:40
MCH-S-01,short,H,306.13,339.408,1900.0,90.0,51.995,2026-02-01T09:56:50
MCH-S-01,short,H,306.198,339.991,1900.0,90.0,52.193,2026-02-01T09:57:00
MCH-S-01,short,H,306.457,340.0,1900.0,90.0,52.333,2026-02-01T09:57:10
MCH-S-01,short,H,306.752,340.0,1900.0,90.0,52.494,2026-02-01T09:57:20
MCH-S-01,short,H,307.063,340.0,1900.0,90.0,52.635,2026-02-01T09:57:30
MCH-S-01,short,H,307.366,340.0,1900.0,90.0,52.832,2026-02-01T09:57:40
MCH-S-01,short,H,307.657,340.0,1900.0,90.0,52.94,2026-02-01T09:57:50
MCH-S-01,short,H,307.793,340.0,1900.0,90.0,53.159,2026-02-01T09:58:00
MCH-S-01,short,H,308.155,340.0,1900.0,90.0,53.33,2026-02-01T09:58:10
MCH-S-01,short,H,308.286,340.0,1900.0,90.0,53.532,2026-02-01T09:58:20
MCH-S-01,short,H,308.476,340.0,1900.0,90.0,53.687,2026-02-01T09:58:30
MCH-S-01,short,H,308.682,340.0,1900.0,90.0,53.872,2026-02-01T09:58:40
MCH-S-01,short,H,308.988,340.0,1900.0,90.0,53.983,2026-02-01T09:58:50
MCH-S-01,short,H,309.228,340.0,1900.0,90.0,54.182,2026-02-01T09:59:00
MCH-S-01,short,H,309.409,340.0,1900.0,90.0,54.299,2026-02-01T09:59:10
MCH-S-01,short,H,309.565,340.0,1900.0,90.0,54.505,2026-02-01T09:59:20
MCH-S-01,short,H,309.898,340.0,1900.0,90.0,54.685,2026-02-01T09:59:30
MCH-S-01,short,H,310.188,340.0,1900.0,90.0,54.8,2026-02-01T09:59:40
MCH-S-01,short,H,310.533,340.0,1900.0,90.0,54.918,2026-02-01T09:59:50
MCH-S-01,short,H,310.834,340.0,1900.0,90.0,55.09,2026-02-01T10:00:00
MCH-S-01,short,H,311.125,340.0,1900.0,90.0,55.284,2026-02-01T10:00:10
MCH-S-01,short,H,311.349,340.0,1900.0,90.0,55.46,2026-02-01T10:00:20
MCH-S-01,short,H,311.556,340.0,1900.0,90.0,55.65,2026-02-01T10:00:30
MCH-S-01,short,H,311.697,340.0,1900.0,90.0,55.794,2026-02-01T10:00:40
MCH-S-01,short,H,311.85,340.0,1900.0,90.0,55.958,2026-02-01T10:00:50
MCH-S-01,short,H,312.287,340.0,1900.0,90.0,56.091,2026-02-01T10:01:00
MCH-S-01,short,H,312.657,340.0,1900.0,90.0,56.293,2026-02-01T10:01:10
MCH-S-01,short,H,313.007,340.0,1900.0,90.0,56.433,2026-02-01T10:01:20
MCH-S-01,short,H,313.205,340.0,1900.0,90.0,56.543,2026-02-01T10:01:30
MCH-S-01,short,H,313.51,340.0,1900.0,90.0,56.768,2026-02-01T10:01:40
MCH-S-01,short,H,313.796,340.0,1900.0,90.0,57.023,2026-02-01T10:01:50
MCH-S-01,short,H,314.171,340.0,1900.0,90.0,57.163,2026-02-01T10:02:00
MCH-S-01,short,H,314.339,340.0,1900.0,90.0,57.329,2026-02-01T10:02:10
MCH-S-01,short,H,314.571,340.0,1900.0,90.0,57.353,2026-02-01T10:02:20
MCH-S-01,short,H,314.768,340.0,1900.0,90.0,57.52,2026-02-01T10:02:30
MCH-S-01,short,H,315.107,340.0,1900.0,90.0,57.736,2026-02-01T10:02:40
MCH-S-01,short,H,315.392,340.0,1900.0,90.0,57.867,2026-02-01T10:02:50
MCH-S-01,short,H,315.65,340.0,1900.0,90.0,57.952,2026-02-01T10:03:00
MCH-S-01,short,H,315.848,340.0,1900.0,90.0,58.15,2026-02-01T10:03:10
MCH-S-01,short,H,316.127,340.0,1900.0,90.0,58.306,2026-02-01T10:03:20
MCH-S-01,short,H,316.508,340.0,1900.0,90.0,58.527,2026-02-01T10:03:30
MCH-S-01,short,H,316.631,340.0,1900.0,90.0,58.694,2026-02-01T10:03:40
MCH-S-01,short,H,316.936,340.0,1900.0,90.0,58.878,2026-02-01T10:03:50
MCH-S-01,short,H,317.083,340.0,1900.0,90.0,59.056,2026-02-01T10:04:00
MCH-S-01,short,H,317.074,340.0,1900.0,90.0,59.203,2026-02-01T10:04:10
MCH-S-01,short,H,317.349,340.0,1900.0,90.0,59.382,2026-02-01T10:04:20
MCH-S-01,short,H,317.628,340.0,1900.0,90.0,59.514,2026-02-01T10:04:30
MCH-S-01,short,H,317.858,340.0,1900.0,90.0,59.715,2026-02-01T10:04:40
MCH-S-01,short,H,318.048,340.0,1900.0,90.0,59.897,2026-02-01T10:04:50
MCH-S-01,short,H,318.247,340.0,1900.0,90.0,59.984,2026-02-01T10:05:00
MCH-S-01,short,H,318.379,340.0,1900.0,90.0,60.169,2026-02-01T10:05:10
MCH-S-01,short,H,318.653,340.0,1900.0,90.0,60.344,2026-02-01T10:05:20
MCH-S-01,short,H,318.908,340.0,1900.0,90.0,60.583,2026-02-01T10:05:30
MCH-S-01,short,H,318.984,340.0,1900.0,90.0,60.731,2026-02-01T10:05:40
MCH-S-01,short,H,319.173,340.0,1900.0,90.0,60.92,2026-02-01T10:05:50
MCH-S-01,short,H,319.236,340.0,1900.0,90.0,61.068,2026-02-01T10:06:00
MCH-S-01,short,H,319.274,340.0,1872.973,90.0,61.272,2026-02-01T10:06:10
MCH-S-01,short,H,319.252,340.0,1856.482,90.0,61.404,2026-02-01T10:06:20
MCH-S-01,short,H,319.38,340.0,1837.763,90.0,61.512,2026-02-01T10:06:30
MCH-S-01,short,H,319.518,340.0,1812.642,90.0,61.671,2026-02-01T10:06:40
MCH-S-01,short,H,319.566,340.0,1794.6,90.0,61.81,2026-02-01T10:06:50
MCH-S-01,short,H,319.783,340.0,1762.451,90.0,61.952,2026-02-01T10:07:00
MCH-S-01,short,H,319.875,340.0,1744.733,90.0,62.112,2026-02-01T10:07:10
MCH-S-01,short,H,319.951,340.0,1708.256,90.0,62.256,2026-02-01T10:07:20
MCH-S-01,short,H,320.0,340.0,1698.969,90.0,62.489,2026-02-01T10:07:30
MCH-S-01,short,H,320.0,340.0,1673.168,90.0,62.62,2026-02-01T10:07:40
MCH-S-01,short,H,320.0,340.0,1646.576,90.0,62.755,2026-02-01T10:07:50
MCH-S-01,short,H,320.0,340.0,1651.258,90.0,62.986,2026-02-01T10:08:00
